Location Latitude,Location Longitude,Cluster
50.757389,0.276552,1
50.840828,-0.14233,1
50.806337,0.303004,1
50.777122,0.270106,1
50.7769,0.279173,1
50.831038,-0.165312,1
50.760479,0.264294,1
50.810949,-0.539965,1
50.819983,-0.360872,1
50.831325,-0.399896,1
50.869903,-0.130473,1
50.832925,-0.155852,1
50.832925,-0.155852,1
50.811999,-0.543367,1
50.856528,-0.151028,1
50.788682,0.309812,1
50.757567,0.206019,1
50.828079,-0.177342,1
50.837851,-0.14154,1
50.829639,-0.169017,1
50.846253,0.242704,1
50.778946,0.276166,1
50.76168,0.276491,1
50.782577,0.300602,1
50.842882,-0.144791,1
50.826628,-0.178321,1
50.832651,-0.203053,1
50.824465,0.241305,1
50.81034,0.156408,1
50.81895,0.239067,1
50.925455,0.165172,1
50.832541,-0.241258,1
50.776489,0.095857,1
50.812895,-0.387267,1
50.815712,-0.382812,1
50.85677,-0.163152,1
50.93172,0.132913,1
50.836117,-0.16686,1
50.836474,-0.409419,1
50.933522,-0.27962,1
50.82236,-0.396709,1
50.802481,0.313757,1
50.802481,0.313757,1
50.878336,-0.294091,1
50.813827,-0.360438,1
50.806219,-0.510818,1
50.820507,-0.357205,1
50.816623,-0.384371,1
50.769694,0.276951,1
50.768698,0.278221,1
50.833956,-0.242114,1
50.831767,-0.338832,1
50.829212,-0.421665,1
50.831038,-0.413055,1
50.835638,-0.160999,1
50.8305,-0.178952,1
50.814306,-0.381981,1
50.806605,-0.540639,1
50.800827,-0.034868,1
50.805717,-0.042185,1
50.826064,-0.181936,1
50.811272,-0.3798,1
50.772551,0.108262,1
50.828515,-0.186243,1
50.83131,-0.179787,1
50.802695,-0.038962,1
50.890525,0.052613,1
50.811138,-0.544259,1
50.823753,-0.486862,1
50.855527,-0.556517,1
50.81504,-0.389564,1
50.81416,-0.381177,1
50.836559,-0.271258,1
50.810949,-0.539965,1
50.888555,0.191116,1
50.830841,-0.190143,1
50.7729,0.278099,1
50.804392,-0.484181,1
50.815867,-0.384312,1
50.811198,-0.386801,1
50.815576,-0.387845,1
